,county,state,2020 Democrat vote raw,2020 Democrat vote %,2020 Republican vote raw,2020 Republican vote %,2020 other vote raw,2020 other vote %,Population with less than 9th grade education,"Population with 9th to 12th grade education, no diploma",High School graduate and equivalent,"Some College,No Degree",Associates Degree,Bachelors Degree,Graduate or professional degree,Gini Index,Median income (dollars),Mean income (dollars),Area in square Km,Density per square km,Total Population,Hispanic or Latino percentage,NH-White percentage,NH-Black percentage,NH-American Indian and Alaska Native percentage,NH-Asian percentage,NH-Native Hawaiian and Other Pacific Islander percentage,NH-Some Other Race percentage,NH-Two or More Races percentage,"Percentage engaged in Management, business, science, and arts occupations",Percentage engaged in Service Occupations,Percentage engaged in Sales and Office,Percentage engaged in Resources and Construction,Percentage engaged in Transportation
"Lake and Peninsula Borough, Alaska",Lake and Peninsula Borough,Alaska,358,55.59,234,36.34,52,8.07,3.80%,5.40%,45.00%,23.00%,7.20%,8.60%,6.90%,0.3936,"61,607","72,594",61724.23,0.02,1476,2.3,20.12,0.07,67.28,0.47,0,0,9.76,36.76,20.12,10.06,22.18,10.88
"Matanuska-Susitna Borough, Alaska",Matanuska-Susitna Borough,Alaska,12849,24,38492,71.9,2195,4.1,1.70%,4.00%,33.20%,26.30%,11.10%,15.30%,8.40%,0.4189,"86,435","1,06,734",63991.63,1.7,107081,4.9,75.69,0.99,6.1,1.41,0.44,0.73,9.73,36.08,17.47,18.72,16.95,10.78
"Nome Census Area, Alaska",Nome Census Area,Alaska,2131,58.1,1287,35.09,250,6.82,3.30%,8.50%,43.40%,23.10%,3.40%,7.80%,10.50%,0.4439,"70,121","89,721",59490.75,0.17,10046,1.85,13.87,0.52,74.74,1.09,0.05,0.25,7.64,41.24,18.5,19.96,9.12,11.18
"North Slope Borough, Alaska",North Slope Borough,Alaska,1134,45.4,1197,47.92,167,6.69,2.80%,6.50%,43.00%,24.70%,8.70%,9.50%,4.70%,0.443,"83,472","1,09,311",230052.12,0.05,11031,4.97,26.87,1.44,51.49,5.77,2.91,0.27,6.28,31.36,13.08,15.79,23.19,16.58
"Northwest Arctic Borough, Alaska",Northwest Arctic Borough,Alaska,1031,54.12,735,38.58,139,7.3,4.10%,9.90%,46.20%,20.50%,4.20%,10.00%,5.10%,0.4208,"77,647","96,030",92367.47,0.08,7793,1.31,8.78,0.91,82.81,0.68,0.14,0,5.38,36.85,12.01,17.52,18.81,14.82
"Petersburg Borough, Alaska",Petersburg Borough,Alaska,534,33.21,1002,62.31,72,4.48,8.70%,4.30%,31.80%,22.30%,8.00%,17.70%,7.10%,0.4251,"77,826","96,770",7513.11,0.45,3398,4.83,71.92,1.35,6.8,3.44,0.35,0.62,10.68,24.37,20.78,20.84,13.53,20.48
"Prince of Wales-Hyder Census Area, Alaska",Prince of Wales-Hyder Census Area,Alaska,2321,52.91,1930,43.99,136,3.1,1.30%,6.20%,36.40%,28.10%,8.60%,13.60%,5.80%,0.425,"61,779","80,427",13643.58,0.43,5753,2.78,41.16,0.37,43.96,0.43,0.52,0.28,10.5,33.55,17.45,20.95,13.08,14.97
"Sitka City and Borough, Alaska",Sitka City and Borough,Alaska,2124,52.69,1745,43.29,162,4.02,2.00%,2.80%,25.80%,25.40%,9.90%,22.90%,11.30%,0.3721,"95,261","1,04,872",7433.43,1.14,8458,5.92,59.71,0.44,14.26,6.77,0.17,0.63,12.11,40.71,15.93,22.64,10.99,9.73
"Skagway Municipality, Alaska",Skagway Municipality,Alaska,679,71.17,217,22.75,58,6.08,5.30%,2.10%,34.00%,24.40%,6.40%,22.10%,5.80%,0.3547,"79,583","91,563",1123.98,1.16,1240,3.31,85.16,0.48,1.85,3.15,0,0.48,5.56,28.19,25.87,25.48,8.11,12.36
"Southeast Fairbanks Census Area, Alaska",Southeast Fairbanks Census Area,Alaska,748,20.19,2823,76.19,134,3.62,2.10%,4.20%,36.60%,27.80%,9.50%,13.70%,6.10%,0.4239,"75,378","85,484",64315.28,0.11,6808,5.52,73.34,1,11.68,1.28,0.19,0.34,6.65,28.37,23.95,13.79,18.9,14.99
"Wrangell City and Borough, Alaska",Wrangell City and Borough,Alaska,396,31.01,827,64.76,54,4.23,1.70%,11.20%,33.40%,26.00%,9.60%,13.90%,4.10%,0.4125,"61,000","80,656",6620.35,0.32,2127,3.57,63.05,0,17.3,1.18,0.09,0.52,14.29,36.44,15.83,15.09,15.46,17.18
"Yakutat City and Borough, Alaska",Yakutat City and Borough,Alaska,160,50.47,133,41.96,24,7.57,1.00%,5.00%,43.60%,29.20%,10.30%,9.60%,1.30%,0.2936,"76,875","89,580",19749.31,0.03,662,4.38,37.46,0.3,37.76,4.83,0.15,0,15.11,28.57,19.88,14.6,8.39,28.57
"Yukon-Koyukuk Census Area, Alaska",Yukon-Koyukuk Census Area,Alaska,1740,61.31,965,34,133,4.69,4.40%,8.60%,38.90%,29.00%,5.00%,9.60%,4.50%,0.4639,"47,826","62,362",377055.29,0.01,5343,1.35,20.98,0.11,71.46,0.15,0.06,0.3,5.6,34.18,15.44,20.61,13.23,16.54
"Apache County, Arizona",Apache County,Arizona,23293,66.21,11442,32.52,448,1.27,7.00%,9.00%,32.50%,28.60%,9.20%,8.20%,5.60%,0.5144,"37,483","53,624",29003.5,2.28,66021,5.85,20.89,0.28,70.45,0.47,0.03,0.17,1.87,31.63,21.31,21.21,13.58,12.26
"Cochise County, Arizona",Cochise County,Arizona,23732,39.24,35557,58.8,1184,1.96,4.60%,6.50%,25.10%,25.60%,11.40%,16.60%,10.00%,0.4384,"58,421","75,274",16083.47,7.8,125447,33.97,54.41,3.48,0.61,2.06,0.34,0.58,4.55,36.57,22.95,21.3,9.7,9.49
"Coconino County, Arizona",Coconino County,Arizona,44698,60.94,27052,36.88,1596,2.18,3.30%,5.30%,21.00%,22.20%,8.60%,23.30%,16.30%,0.4603,"67,266","89,188",48216.13,3,145101,14.97,53,1.22,24.22,1.78,0.18,0.42,4.21,40.44,22.23,19.53,7.92,9.89
"Gila County, Arizona",Gila County,Arizona,8943,32.31,18377,66.4,358,1.29,2.70%,10.20%,30.60%,28.30%,10.20%,11.80%,6.20%,0.4389,"55,242","69,681",12322.07,4.34,53272,17.43,61.49,0.45,16.25,0.8,0.08,0.38,3.12,31.75,24.2,18.87,13.65,11.52
"Graham County, Arizona",Graham County,Arizona,4034,26.9,10749,71.68,213,1.42,4.30%,11.10%,30.40%,29.10%,11.10%,9.00%,5.00%,0.4057,"64,089","74,766",11970.61,3.21,38533,29.66,52.94,1.18,13.35,0.44,0.04,0.26,2.14,28.66,20.95,19.38,18.47,12.54
"Greenlee County, Arizona",Greenlee County,Arizona,1182,32.05,2433,65.97,73,1.98,4.80%,9.30%,32.40%,29.90%,7.00%,13.20%,3.50%,0.3756,"73,756","79,905",4772.93,1.99,9563,45.76,46.49,0.84,2.88,0.71,0.01,0.36,2.96,28.01,19.43,9.72,28.3,14.54
"La Paz County, Arizona",La Paz County,Arizona,2236,29.97,5129,68.75,95,1.27,6.00%,11.40%,32.80%,28.50%,8.90%,8.40%,4.00%,0.4817,"46,634","62,044",11646.09,1.43,16557,25.35,54.73,0.62,14.22,0.67,0.25,0.26,3.91,29.78,21,19.61,16.43,13.19
"Maricopa County, Arizona",Maricopa County,Arizona,1040774,50.29,995665,48.11,33036,1.6,4.90%,5.90%,22.10%,23.10%,9.00%,21.90%,13.10%,0.4555,"80,675","1,08,596",23833.11,185.91,4420568,30.57,53.33,5.55,1.55,4.48,0.22,0.47,3.84,41.18,16.17,23.45,8.31,10.89
"Mohave County, Arizona",Mohave County,Arizona,24831,23.72,78535,75.01,1339,1.28,3.50%,8.70%,34.40%,29.60%,9.30%,8.90%,5.50%,0.4622,"53,592","73,093",34530.02,6.2,213267,16,75.1,0.97,1.9,1.22,0.17,0.32,4.32,29.58,23.62,23.23,9.14,14.42
"Navajo County, Arizona",Navajo County,Arizona,23383,45.16,27657,53.41,743,1.43,5.00%,9.40%,29.90%,28.60%,9.90%,10.10%,7.20%,0.4536,"50,335","63,992",25769.07,4.16,106717,10.2,41.97,0.63,43.64,0.51,0.06,0.22,2.76,34.63,20.69,20.91,12.58,11.19
"Pima County, Arizona",Pima County,Arizona,304981,58.57,207758,39.9,7996,1.54,4.20%,6.30%,21.50%,24.20%,8.80%,20.00%,15.00%,0.4679,"64,323","88,437",23798.58,43.8,1043433,35.73,51.45,3.47,2.27,2.86,0.19,0.45,3.59,39.9,20.01,22.29,8.54,9.26
"Pinal County, Arizona",Pinal County,Arizona,75106,40.59,107077,57.87,2854,1.54,4.40%,7.10%,30.70%,26.20%,10.10%,14.40%,7.00%,0.4199,"73,313","92,354",13899.61,31.18,425264,28.58,56.44,4.87,4.03,1.48,0.25,0.39,3.96,33.4,19.32,22,11.4,13.88
"Santa Cruz County, Arizona",Santa Cruz County,Arizona,13138,67.16,6194,31.67,229,1.17,10.00%,12.00%,25.40%,20.00%,9.10%,14.00%,9.50%,0.4635,"51,885","71,305",3201.9,14.94,47669,83.14,14.93,0.24,0.16,0.57,0.03,0.31,0.61,26.45,19.89,27.05,9.88,16.72
"Yavapai County, Arizona",Yavapai County,Arizona,49602,34.62,91527,63.88,2151,1.5,2.10%,5.70%,25.40%,28.60%,9.40%,17.00%,11.70%,0.4482,"62,430","83,305",21038.3,11.3,236209,14.56,77.6,0.6,1.41,1.19,0.11,0.45,4.08,33.78,20.86,23.55,11.78,10.04
"Yuma County, Arizona",Yuma County,Arizona,32210,46.06,36534,52.25,1182,1.69,12.40%,11.40%,26.40%,24.80%,8.50%,10.70%,5.70%,0.4574,"56,439","74,377",14280.73,14.31,203881,63.76,29.98,1.71,0.93,1.14,0.11,0.31,2.07,27.09,21.36,20.1,15.61,15.84
"Arkansas County, Arkansas",Arkansas County,Arkansas,1818,28.89,4304,68.4,170,2.7,4.30%,9.70%,42.50%,15.30%,12.40%,10.40%,5.40%,0.4412,"58,695","70,590",2569.63,6.63,17149,3.71,67.5,24.13,0.2,0.55,0.05,0.2,3.66,31.56,15.29,17.99,12.39,22.77
"Ashley County, Arkansas",Ashley County,Arkansas,2125,26.81,5548,70,253,3.19,5.60%,8.60%,48.40%,19.80%,6.10%,8.20%,3.30%,0.5126,"44,804","64,449",2397.01,7.93,19062,5.84,66.55,24.36,0.13,0.22,0.03,0.17,2.7,26.96,19.44,17.55,12.3,23.74
"Baxter County, Arkansas",Baxter County,Arkansas,4635,22.06,15836,75.38,536,2.55,2.40%,8.00%,35.20%,24.60%,11.70%,12.50%,5.60%,0.4592,"47,403","66,193",1434.68,29.14,41627,2.54,91.4,0.21,0.52,0.56,0.02,0.23,4.51,31.46,14.66,21.03,9.12,23.73
"Benton County, Arkansas",Benton County,Arkansas,42249,35.23,73965,61.68,3698,3.08,4.80%,5.00%,28.80%,18.90%,7.00%,22.90%,12.60%,0.4565,"85,269","1,16,152",2195.62,130.5,284333,17.77,67.44,1.59,1.34,4.78,0.91,0.3,5.86,39.55,13.93,22.35,9.37,14.8
"Boone County, Arkansas",Boone County,Arkansas,3064,17.9,13652,79.77,398,2.33,3.10%,6.30%,34.90%,28.00%,11.10%,11.00%,5.60%,0.4477,"52,275","69,322",1527.38,24.66,37373,2.6,90.31,0.26,0.71,0.62,0.07,0.22,5.2,31.02,16.08,24.72,9.34,18.83
"Bradley County, Arkansas",Bradley County,Arkansas,1214,33.22,2335,63.9,105,2.87,5.10%,9.10%,47.10%,20.00%,6.20%,8.70%,3.80%,0.4717,"43,688","57,798",1681.34,6.22,10545,14.94,54.13,27.7,0.28,0.26,0,0.12,2.58,34.98,13.38,16.34,12.04,23.26
"Calhoun County, Arkansas",Calhoun County,Arkansas,479,21.95,1636,74.98,67,3.07,2.30%,12.40%,45.40%,18.60%,8.80%,7.70%,4.90%,0.3919,"60,237","65,273",1628.07,2.93,4739,2.68,73.83,19.27,0.06,0.11,0.19,0.08,3.78,21.61,14.61,23.01,21.97,18.81
"Carroll County, Arkansas",Carroll County,Arkansas,4023,34.1,7424,62.93,350,2.97,8.30%,5.90%,35.90%,20.60%,7.90%,14.50%,6.90%,0.4498,"56,826","71,631",1631.5,17.38,28260,15.24,74.93,0.31,0.9,2,1.53,0.33,4.77,29.49,14.08,18.6,18.05,19.77
"Chicot County, Arkansas",Chicot County,Arkansas,2260,55.08,1752,42.7,91,2.22,5.80%,14.50%,37.90%,19.40%,4.80%,12.60%,5.00%,0.5559,"36,593","61,443",1649.76,6.2,10208,5.69,38.08,52.77,0.25,0.37,0.09,0.24,2.5,28.14,15.07,23.43,15.49,17.87
"Clark County, Arkansas",Clark County,Arkansas,3438,40.95,4616,54.99,341,4.06,3.30%,7.00%,31.20%,26.30%,5.80%,17.40%,9.10%,0.4502,"48,071","63,424",2242.86,9.57,21446,5.09,65.71,23.63,0.35,0.7,0.07,0.41,4.03,28.92,24.91,19.86,9.15,17.16
"Clay County, Arkansas",Clay County,Arkansas,962,18.56,4086,78.83,135,2.6,5.90%,9.80%,41.10%,19.30%,8.50%,8.70%,6.70%,0.4523,"44,685","61,486",1655.58,8.78,14552,2.25,93.28,0.27,0.3,0.1,0.03,0.14,3.63,31.05,15.36,19.37,12.06,22.16
"Cleburne County, Arkansas",Cleburne County,Arkansas,1988,15.68,10328,81.45,364,2.87,4.40%,7.70%,39.40%,22.10%,9.20%,11.40%,5.80%,0.4541,"52,780","71,025",1434.75,17.39,24711,2.56,92.06,0.23,0.45,0.39,0.04,0.2,4.07,29.7,16.59,21.32,12.57,19.82
"Cleveland County, Arkansas",Cleveland County,Arkansas,651,18.08,2867,79.64,82,2.28,0.90%,7.20%,43.80%,27.10%,5.10%,10.10%,5.80%,0.4511,"48,913","68,293",1548.58,4.87,7550,2.41,85.15,8.94,0.28,0.09,0.01,0.16,2.95,35.79,10.71,18.75,14.1,20.66
"Columbia County, Arkansas",Columbia County,Arkansas,2814,32.66,5500,63.83,302,3.51,3.50%,8.20%,41.50%,21.20%,6.60%,13.30%,5.70%,0.5224,"47,441","72,061",1984.1,11.44,22801,3.39,58.05,34.36,0.31,0.71,0,0.31,2.86,31.47,16.31,17.67,9.37,25.18
"Conway County, Arkansas",Conway County,Arkansas,2615,30.11,5694,65.56,376,4.33,3.80%,7.00%,43.20%,17.70%,9.20%,14.10%,5.00%,0.4697,"50,282","68,736",1429.46,14.54,20715,4.28,77.95,10.57,0.66,0.43,0.04,0.11,5.97,32.36,17.86,16.03,14.95,18.8
"Craighead County, Arkansas",Craighead County,Arkansas,11921,30.95,25558,66.37,1032,2.68,4.40%,5.40%,33.10%,21.10%,7.80%,17.30%,10.90%,0.4934,"55,169","80,561",1831.54,60.63,111231,6.05,71.15,16.48,0.24,1.51,0.05,0.25,4.27,36.3,17.73,20.95,10.12,14.9
"Crawford County, Arkansas",Crawford County,Arkansas,4959,20.58,18607,77.24,525,2.18,4.20%,10.30%,34.40%,22.30%,8.40%,14.50%,5.80%,0.4445,"56,702","74,478",1541.74,39.3,60133,7.59,79.2,1.43,2.27,1.56,0.04,0.21,7.69,29.89,16.93,21.77,10.5,20.9
"Crittenden County, Arkansas",Crittenden County,Arkansas,8514,52.02,7333,44.8,520,3.18,4.70%,9.70%,36.30%,23.30%,8.30%,12.50%,5.20%,0.4769,"51,860","70,749",1587.31,30.21,48163,2.96,39.34,53.58,0.24,0.67,0.04,0.18,2.99,32.37,17.23,19.54,9.31,21.55
"Cross County, Arkansas",Cross County,Arkansas,1772,25.53,4946,71.25,224,3.23,5.90%,10.70%,42.70%,17.40%,7.30%,10.70%,5.40%,0.4748,"48,129","68,838",1596.26,10.54,16833,2.09,71.69,21.69,0.23,0.61,0.03,0.26,3.42,24.19,16.57,21.97,17.43,19.84
"Dallas County, Arkansas",Dallas County,Arkansas,963,36.35,1573,59.38,113,4.27,3.80%,7.70%,48.40%,20.70%,6.30%,8.70%,4.30%,0.4456,"40,085","58,645",1728.36,3.74,6482,3.1,52.84,39.83,0.22,0.11,0,0.39,3.52,28.89,21.13,13.4,5.06,31.52
"Desha County, Arkansas",Desha County,Arkansas,2016,48.41,1921,46.13,227,5.45,9.70%,11.30%,43.70%,19.70%,2.50%,8.30%,4.80%,0.4552,"38,067","51,673",1919.77,5.88,11395,6.78,41.53,47.26,0.32,0.54,0,0.14,3.44,30.42,20.06,17.57,13.73,18.22
"Drew County, Arkansas",Drew County,Arkansas,2426,35.12,4349,62.96,133,1.93,3.20%,9.50%,36.00%,19.90%,6.40%,17.00%,8.00%,0.4952,"44,968","66,829",2146.24,8.06,17350,3.78,64.25,27.75,0.39,0.58,0.05,0.32,2.88,39.7,17.62,16.27,11.04,15.37
"Faulkner County, Arkansas",Faulkner County,Arkansas,18347,33.71,34421,63.24,1660,3.05,3.00%,4.00%,29.70%,22.70%,8.20%,20.20%,12.30%,0.4638,"61,273","80,941",1676.35,74.33,123498,5.5,74.96,11.56,0.46,1.18,0.05,0.34,5.96,41.32,16.85,19.91,9.08,12.85
"Franklin County, Arkansas",Franklin County,Arkansas,1300,18.24,5677,79.63,152,2.13,4.60%,9.20%,42.60%,21.80%,9.60%,8.70%,3.60%,0.452,"47,695","62,043",1577.22,10.88,17097,2.87,88.91,0.46,1.16,0.95,0.06,0.18,5.42,29.08,16.61,17.14,12.44,24.72
"Fulton County, Arkansas",Fulton County,Arkansas,1035,20.22,3961,77.38,123,2.4,4.90%,8.30%,38.20%,27.20%,7.20%,9.50%,4.90%,0.4215,"38,917","53,748",1600.6,7.61,12075,1.28,92.76,0.22,0.55,0.29,0,0.13,4.77,30.52,24.31,19.77,8.12,17.27
"Garland County, Arkansas",Garland County,Arkansas,14045,31.78,29069,65.77,1085,2.45,2.50%,6.90%,31.20%,24.40%,9.80%,15.80%,9.40%,0.4606,"54,229","73,126",1755.01,56.99,100180,7.03,77.1,8.02,0.62,0.96,0.07,0.3,5.9,32.67,22.74,22.8,10.54,11.25
"Grant County, Arkansas",Grant County,Arkansas,1268,15.46,6794,82.85,138,1.68,2.20%,5.10%,42.60%,23.50%,7.70%,13.70%,5.10%,0.4555,"68,598","88,493",1636.58,11.01,17958,2.45,90.02,2.49,0.39,0.42,0.01,0.08,4.14,36.1,14.89,19.33,12.27,17.41
"Greene County, Arkansas",Greene County,Arkansas,3058,18.99,12670,78.7,372,2.31,3.50%,8.60%,44.40%,20.30%,6.60%,10.60%,6.00%,0.4283,"54,879","67,548",1495.3,30.73,45736,3.49,88.57,2.02,0.3,0.4,0.63,0.23,4.36,31.94,14.16,19.06,12.44,22.4
"Hempstead County, Arkansas",Hempstead County,Arkansas,2138,31.22,4470,65.27,240,3.5,7.70%,8.50%,39.10%,21.00%,8.00%,9.60%,6.20%,0.4728,"45,049","62,956",1883.44,10.64,20065,14.72,52.62,28.13,0.4,0.44,0.02,0.22,3.45,26.74,14.46,16.32,15.5,26.97
"Hot Spring County, Arkansas",Hot Spring County,Arkansas,3082,24.54,9202,73.28,273,2.17,2.60%,8.90%,39.30%,25.30%,8.40%,10.10%,5.40%,0.4379,"50,260","65,891",1592.7,20.8,33040,3.83,79.36,10.44,0.5,0.35,0.03,0.23,5.26,30.44,19.47,19.92,13.47,16.69
"Howard County, Arkansas",Howard County,Arkansas,1340,27.72,3367,69.65,127,2.63,4.30%,7.30%,42.90%,21.00%,9.60%,9.90%,5.10%,0.4513,"44,824","61,924",1521.18,8.4,12785,11.87,62.43,20.54,0.64,0.48,0.03,0.16,3.84,27.23,17.48,16.62,15.03,23.65
"Independence County, Arkansas",Independence County,Arkansas,2806,19.34,11250,77.52,456,3.14,4.00%,9.20%,38.60%,22.90%,8.20%,11.60%,5.50%,0.4762,"52,361","71,260",1978,19.17,37938,8.59,83.06,2.19,0.35,0.9,0.08,0.25,4.59,28.83,17.5,20.02,12.71,20.94
"Izard County, Arkansas",Izard County,Arkansas,1021,17.57,4631,79.71,158,2.72,4.50%,12.20%,34.50%,22.60%,7.20%,13.30%,5.60%,0.4908,"46,159","64,670",1502.71,9.15,13577,2.4,89.67,1.89,0.54,0.2,0.07,0.24,4.99,36.87,13.38,15.29,14,20.46
"Jackson County, Arkansas",Jackson County,Arkansas,1365,26.81,3593,70.58,133,2.61,4.30%,9.50%,44.60%,22.30%,7.50%,7.80%,4.10%,0.4721,"41,929","57,912",1641.04,10.23,16755,2.75,76.12,16.5,0.26,0.38,0.02,0.3,3.68,23.96,20.84,19.2,12.72,23.28
"Jefferson County, Arkansas",Jefferson County,Arkansas,14981,59.55,9521,37.84,656,2.61,3.30%,7.60%,42.30%,21.30%,5.30%,14.00%,6.20%,0.4686,"46,855","64,705",2259.36,29.63,67260,2.21,37.51,56.07,0.32,0.99,0.14,0.24,2.52,31.16,21.46,18.09,7.61,21.68
"Johnson County, Arkansas",Johnson County,Arkansas,2283,24.04,6938,73.05,277,2.92,8.60%,10.90%,41.00%,19.40%,5.00%,10.30%,4.80%,0.4456,"42,470","56,684",1711.96,15.14,25749,13.36,75.34,1.76,0.78,3.57,0.1,0.22,4.87,27.22,14.77,16.04,10.02,31.96
"Lafayette County, Arkansas",Lafayette County,Arkansas,839,31.32,1757,65.58,83,3.1,9.30%,9.60%,48.40%,16.30%,5.80%,7.20%,3.40%,0.4502,"40,262","56,291",1371.33,4.58,6308,2.3,61.35,32.39,0.46,0.51,0.08,0.1,2.82,30.93,15.64,19.92,13.02,20.48
"Lawrence County, Arkansas",Lawrence County,Arkansas,1080,18.44,4569,78.01,208,3.55,6.00%,11.80%,37.50%,24.60%,7.10%,8.70%,4.20%,0.459,"43,606","62,355",1521.69,10.68,16216,2.2,92.04,0.85,0.25,0.23,0.06,0.2,4.16,25.39,16.08,20.27,14.79,23.48
"Lee County, Arkansas",Lee County,Arkansas,1423,49.96,1286,45.15,139,4.88,4.40%,12.10%,49.30%,20.70%,5.80%,6.40%,1.30%,0.5628,"33,801","56,868",1553.49,5.58,8600,2.51,39.81,54.15,0.21,0.15,0.01,0.17,2.98,35.27,14.45,16.03,17.54,16.71
"Lincoln County, Arkansas",Lincoln County,Arkansas,1032,26.63,2729,70.43,114,2.94,5.60%,10.90%,50.70%,20.10%,4.50%,5.50%,2.70%,0.4713,"50,526","68,575",1449.01,8.98,12941,4.78,63.27,28.2,0.21,0.18,0.07,0.13,3.15,29.38,14.59,21.02,15.32,19.69
"Little River County, Arkansas",Little River County,Arkansas,1226,23.68,3715,71.76,236,4.56,2.10%,7.30%,45.50%,21.10%,8.10%,11.60%,4.30%,0.4101,"58,627","71,108",1375.94,8.74,12026,3.4,71.45,17.99,1.34,0.16,0.07,0.17,5.41,29.96,14.67,18.25,14.17,22.95
"Logan County, Arkansas",Logan County,Arkansas,1544,18.77,6441,78.31,240,2.92,3.20%,8.60%,43.70%,22.10%,8.00%,9.10%,5.30%,0.4486,"51,131","70,242",1836.6,11.57,21131,3.03,87.96,1.06,1.08,1.55,0.04,0.17,5.12,28.54,16.66,18.11,11.6,25.09
"Lonoke County, Arkansas",Lonoke County,Arkansas,6686,21.81,22884,74.63,1092,3.56,3.10%,7.00%,37.10%,22.20%,10.60%,13.30%,6.60%,0.4211,"68,078","85,865",1998.05,37.18,74015,4.88,81.87,5.88,0.42,0.97,0.07,0.23,5.69,35.69,13.31,23.71,13.72,13.56
"Madison County, Arkansas",Madison County,Arkansas,1563,21.26,5658,76.97,130,1.77,4.60%,10.40%,49.50%,18.80%,4.40%,8.30%,4.00%,0.4553,"51,514","70,891",2160.67,7.75,16521,5.39,85.19,0.22,1.24,0.62,1.44,0.36,5.54,26.42,17.03,18.82,18.14,19.6
"Marion County, Arkansas",Marion County,Arkansas,1531,20.41,5783,77.08,189,2.52,4.40%,7.90%,37.20%,27.00%,8.20%,9.00%,6.20%,0.4478,"42,891","57,906",1545.18,10.94,16826,2.25,91.61,0.12,0.75,0.33,0,0.08,4.85,29.96,13.95,17.44,11.37,27.28
"Miller County, Arkansas",Miller County,Arkansas,4245,25.68,11920,72.12,364,2.2,4.30%,9.00%,38.00%,25.50%,7.60%,9.00%,6.60%,0.482,"47,613","66,142",1616.26,26.41,42600,3.72,64.77,25.64,0.58,0.48,0.01,0.33,4.48,31.01,14.99,22.05,10.13,21.82
"Mississippi County, Arkansas",Mississippi County,Arkansas,4558,36.93,7296,59.12,488,3.95,6.80%,10.40%,39.90%,20.60%,7.40%,9.20%,5.60%,0.4905,"50,012","71,494",2336.41,17.27,40685,4.35,56.19,35.03,0.16,0.59,0.01,0.24,3.42,29.48,15.15,17.01,11.84,26.52
"Monroe County, Arkansas",Monroe County,Arkansas,1147,40.73,1545,54.87,124,4.4,7.00%,12.80%,41.10%,18.70%,6.20%,9.80%,4.40%,0.4721,"41,786","55,658",1573.32,4.31,6799,2.74,52.04,40.46,0.44,0.41,0.1,0.47,3.34,27.35,18.21,17.6,8.54,28.3
"Montgomery County, Arkansas",Montgomery County,Arkansas,731,18.87,3046,78.65,96,2.48,4.80%,8.40%,35.00%,26.90%,8.40%,11.80%,4.60%,0.4501,"47,103","61,955",2021.36,4.23,8484,4.89,88.39,0.15,1.08,0.55,0.06,0.17,4.7,30.69,13.63,22.62,12.1,20.96
"Nevada County, Arkansas",Nevada County,Arkansas,1076,32.04,2133,63.52,149,4.44,4.60%,5.80%,49.80%,20.90%,7.90%,8.40%,2.50%,0.4286,"43,421","51,512",1600.07,5.18,8310,4.26,61.91,29.28,0.45,0.49,0,0.19,3.42,20.84,27.93,21.71,10.77,18.76
"Newton County, Arkansas",Newton County,Arkansas,709,17.73,3192,79.84,97,2.43,3.80%,11.30%,37.10%,25.20%,7.90%,9.40%,5.30%,0.4184,"50,699","65,087",2126.58,3.41,7225,1.13,92.15,0.08,0.91,0.33,0.01,0.26,5.11,22.98,17.39,21.67,15.11,22.84
"Ouachita County, Arkansas",Ouachita County,Arkansas,3995,41.49,5294,54.98,340,3.53,2.10%,9.80%,39.80%,25.80%,7.60%,10.00%,5.00%,0.4365,"47,348","62,145",1897.74,11.91,22650,2.28,53.39,39.1,0.22,0.54,0.01,0.21,4.26,30.36,17.26,15.17,10,27.2
"Perry County, Arkansas",Perry County,Arkansas,1012,21.87,3479,75.19,136,2.94,3.40%,5.60%,44.50%,25.20%,6.10%,10.90%,4.30%,0.4202,"53,980","69,280",1427.95,7.04,10019,2.85,90.52,1.07,0.43,0.12,0,0.25,4.76,29.43,12.29,18.7,20.44,19.14
"Phillips County, Arkansas",Phillips County,Arkansas,3623,58.04,2417,38.72,202,3.24,5.80%,12.20%,31.20%,23.50%,12.00%,9.60%,5.70%,0.499,"37,458","54,223",1788.02,9.16,16568,1.59,33.44,62.2,0.23,0.39,0.02,0.11,2.01,30.74,14.59,23.52,8.81,22.34
"Pike County, Arkansas",Pike County,Arkansas,644,15.17,3519,82.88,83,1.95,6.80%,4.50%,39.70%,23.10%,7.30%,12.10%,6.40%,0.4871,"49,248","69,106",1554.86,6.56,10171,8.17,83.82,2.34,0.82,0.16,0,0.26,4.44,31.08,15.88,17.63,12.67,22.75
"Poinsett County, Arkansas",Poinsett County,Arkansas,1424,18.93,5918,78.69,179,2.38,8.20%,10.00%,46.90%,18.80%,4.50%,8.30%,3.20%,0.4723,"43,440","60,498",1963.98,11.71,22965,3.61,83.44,7.72,0.4,0.24,0,0.22,4.36,27.03,16.59,18.79,11.03,26.55
"Polk County, Arkansas",Polk County,Arkansas,1246,14.68,7035,82.86,209,2.46,3.30%,8.70%,36.10%,28.30%,7.40%,11.20%,5.10%,0.4974,"48,449","72,330",2219.2,8.73,19221,6.65,83.72,0.2,1.74,0.52,0.05,0.28,6.84,32.55,19.44,15.58,14.68,17.75
"Pope County, Arkansas",Pope County,Arkansas,5772,23.62,18081,74.01,579,2.37,5.50%,9.20%,34.00%,20.40%,7.10%,15.70%,8.20%,0.47,"51,678","73,118",2100.36,30.22,63381,10.12,78.95,3.25,0.72,1.05,0.04,0.28,5.6,32.46,17.1,19.43,9.61,21.41
